YEARS,CO2EQ
1765,281.69873
1766,281.69873
1767,281.69873
1768,281.69873
1769,281.69873
1770,281.69873
1771,281.69873
1772,281.69873
1773,281.69873
1774,281.69873
1775,281.69873
1776,281.69873
1777,281.69873
1778,281.69873
1779,281.69873
1780,281.69873
1781,281.69873
1782,281.69873
1783,281.69873
1784,281.69873
1785,281.69873
1786,281.69873
1787,281.69873
1788,281.69873
1789,281.69873
1790,281.69873
1791,281.69873
1792,281.69873
1793,281.69873
1794,281.69873
1795,281.69873
1796,281.69873
1797,281.69873
1798,281.69873
1799,281.69873
1800,281.69873
1801,281.69873
1802,281.69873
1803,281.69873
1804,281.69873
1805,281.69873
1806,281.69873
1807,281.69873
1808,281.69873
1809,281.69873
1810,281.69873
1811,281.69873
1812,281.69873
1813,281.69873
1814,281.69873
1815,281.69873
1816,281.69873
1817,281.69873
1818,281.69873
1819,281.69873
1820,281.69873
1821,281.69873
1822,281.69873
1823,281.69873
1824,281.69873
1825,281.69873
1826,281.69873
1827,281.69873
1828,281.69873
1829,281.69873
1830,281.69873
1831,281.69873
1832,281.69873
1833,281.69873
1834,281.69873
1835,281.69873
1836,281.69873
1837,281.69873
1838,281.69873
1839,281.69873
1840,281.69873
1841,281.69873
1842,281.69873
1843,281.69873
1844,281.69873
1845,281.69873
1846,281.69873
1847,281.69873
1848,281.69873
1849,281.69873
1850,281.69873
1851,281.69873
1852,281.69873
1853,281.69873
1854,281.69873
1855,281.69873
1856,281.69873
1857,281.69873
1858,281.69873
1859,281.69873
1860,281.69873
1861,281.69873
1862,281.69873
1863,281.69873
1864,281.69873
1865,281.69873
1866,281.69873
1867,281.69873
1868,281.69873
1869,281.69873
1870,281.69873
1871,281.69873
1872,281.69873
1873,281.69873
1874,281.69873
1875,281.69873
1876,281.69873
1877,281.69873
1878,281.69873
1879,281.69873
1880,281.69873
1881,281.69873
1882,281.69873
1883,281.69873
1884,281.69873
1885,281.69873
1886,281.69873
1887,281.69873
1888,281.69873
1889,281.69873
1890,281.69873
1891,281.69873
1892,281.69873
1893,281.69873
1894,281.69873
1895,281.69873
1896,281.69873
1897,281.69873
1898,281.69873
1899,281.69873
1900,281.69873
1901,281.69873
1902,281.69873
1903,281.69873
1904,281.69873
1905,281.69873
1906,281.69873
1907,281.69873
1908,281.69873
1909,281.69873
1910,281.69873
1911,281.69873
1912,281.69873
1913,281.69873
1914,281.69873
1915,281.69873
1916,281.69873
1917,281.69873
1918,281.69873
1919,281.69873
1920,281.69873
1921,281.69873
1922,281.69873
1923,281.69873
1924,281.69873
1925,281.69873
1926,281.69873
1927,281.69873
1928,281.69873
1929,281.69873
1930,281.69873
1931,281.69873
1932,281.69873
1933,281.69873
1934,281.69873
1935,281.69873
1936,281.69873
1937,281.69873
1938,281.69873
1939,281.69873
1940,281.69873
1941,281.69873
1942,281.69873
1943,281.69873
1944,281.69873
1945,281.69873
1946,281.69873
1947,281.69873
1948,281.69873
1949,281.69873
1950,281.69873
1951,281.69873
1952,281.69873
1953,281.69873
1954,281.69873
1955,281.69873
1956,281.69873
1957,281.69873
1958,281.69873
1959,281.69873
1960,281.69873
1961,281.69873
1962,281.69873
1963,281.69873
1964,281.69873
1965,281.69873
1966,281.69873
1967,281.69873
1968,281.69873
1969,281.69873
1970,281.69873
1971,281.69873
1972,281.69873
1973,281.69873
1974,281.69873
1975,281.69873
1976,281.69873
1977,281.69873
1978,281.69873
1979,281.69873
1980,281.69873
1981,281.69873
1982,281.69873
1983,281.69873
1984,281.69873
1985,281.69873
1986,281.69873
1987,281.69873
1988,281.69873
1989,281.69873
1990,281.69873
1991,281.69873
1992,281.69873
1993,281.69873
1994,281.69873
1995,281.69873
1996,281.69873
1997,281.69873
1998,281.69873
1999,281.69873
2000,281.69873
2001,281.69873
2002,281.69873
2003,281.69873
2004,281.69873
2005,281.69873
2006,281.69873
2007,281.69873
2008,281.69873
2009,281.69873
2010,281.69873
2011,281.69873
2012,281.69873
2013,281.69873
2014,281.69873
2015,281.69873
2016,281.69873
2017,281.69873
2018,281.69873
2019,281.69873
2020,281.69873
2021,281.69873
2022,281.69873
2023,281.69873
2024,281.69873
2025,281.69873
2026,281.69873
2027,281.69873
2028,281.69873
2029,281.69873
2030,281.69873
2031,281.69873
2032,281.69873
2033,281.69873
2034,281.69873
2035,281.69873
2036,281.69873
2037,281.69873
2038,281.69873
2039,281.69873
2040,281.69873
2041,281.69873
2042,281.69873
2043,281.69873
2044,281.69873
2045,281.69873
2046,281.69873
2047,281.69873
2048,281.69873
2049,281.69873
2050,542.4471
2051,542.4471
2052,542.4471
2053,542.4471
2054,542.4471
2055,542.4471
2056,542.4471
2057,542.4471
2058,542.4471
2059,542.4471
2060,542.4471
2061,542.4471
2062,542.4471
2063,542.4471
2064,542.4471
2065,542.4471
2066,542.4471
2067,542.4471
2068,542.4471
2069,542.4471
2070,542.4471
2071,542.4471
2072,542.4471
2073,542.4471
2074,542.4471
2075,542.4471
2076,542.4471
2077,542.4471
2078,542.4471
2079,542.4471
2080,542.4471
2081,542.4471
2082,542.4471
2083,542.4471
2084,542.4471
2085,542.4471
2086,542.4471
2087,542.4471
2088,542.4471
2089,542.4471
2090,542.4471
2091,542.4471
2092,542.4471
2093,542.4471
2094,542.4471
2095,542.4471
2096,542.4471
2097,542.4471
2098,542.4471
2099,542.4471
2100,542.4471
2101,542.4471
2102,542.4471
2103,542.4471
2104,542.4471
2105,542.4471
2106,542.4471
2107,542.4471
2108,542.4471
2109,542.4471
2110,542.4471
2111,542.4471
2112,542.4471
2113,542.4471
2114,542.4471
2115,542.4471
2116,542.4471
2117,542.4471
2118,542.4471
2119,542.4471
2120,542.4471
2121,542.4471
2122,542.4471
2123,542.4471
2124,542.4471
2125,542.4471
2126,542.4471
2127,542.4471
2128,542.4471
2129,542.4471
2130,542.4471
2131,542.4471
2132,542.4471
2133,542.4471
2134,542.4471
2135,542.4471
2136,542.4471
2137,542.4471
2138,542.4471
2139,542.4471
2140,542.4471
2141,542.4471
2142,542.4471
2143,542.4471
2144,542.4471
2145,542.4471
2146,542.4471
2147,542.4471
2148,542.4471
2149,542.4471
2150,542.4471
2151,542.4471
2152,542.4471
2153,542.4471
2154,542.4471
2155,542.4471
2156,542.4471
2157,542.4471
2158,542.4471
2159,542.4471
2160,542.4471
2161,542.4471
2162,542.4471
2163,542.4471
2164,542.4471
2165,542.4471
2166,542.4471
2167,542.4471
2168,542.4471
